Latitude,Longitude,ZCategory
47.61051231,-122.3422863,COMMERCIAL
47.64656159,-122.3696665,SINGLE FAMILY / DUPLEX
47.66420633,-122.3105171,MULTIFAMILY
47.54795337,-122.3909208,SINGLE FAMILY / DUPLEX
47.61179618,-122.3404174,COMMERCIAL
47.55142486,-122.3043099,SINGLE FAMILY / DUPLEX
47.60307545,-122.3331375,COMMERCIAL
47.55995299,-122.2868938,INSTITUTIONAL
47.56524063,-122.38649,COMMERCIAL
47.60949253,-122.3196733,INSTITUTIONAL
47.69572937,-122.3733593,MULTIFAMILY
47.68856793,-122.3722204,SINGLE FAMILY / DUPLEX
47.63429424,-122.2765304,MULTIFAMILY
47.68511986,-122.3011424,SINGLE FAMILY / DUPLEX
47.67176167,-122.3301226,SINGLE FAMILY / DUPLEX
47.69248338,-122.3354277,SINGLE FAMILY / DUPLEX
47.70435956,-122.3353653,SINGLE FAMILY / DUPLEX
47.55469848,-122.3613255,SINGLE FAMILY / DUPLEX
47.59858646,-122.3319963,COMMERCIAL
,,SINGLE FAMILY / DUPLEX
47.66061901,-122.3298776,
47.54020129,-122.3357618,INDUSTRIAL
47.63131767,-122.3685466,SINGLE FAMILY / DUPLEX
47.53066633,-122.2784766,SINGLE FAMILY / DUPLEX
47.62338901,-122.3388714,COMMERCIAL
47.66199095,-122.2770441,SINGLE FAMILY / DUPLEX
47.53655487,-122.3637846,
47.62221783,-122.3368177,COMMERCIAL
47.61586972,-122.3393811,COMMERCIAL
47.57144944,-122.4092685,
47.60995491,-122.339053,COMMERCIAL
47.67150928,-122.4025368,SINGLE FAMILY / DUPLEX
47.54403525,-122.3324332,INDUSTRIAL
47.66377085,-122.2915808,SINGLE FAMILY / DUPLEX
47.54425891,-122.3677835,SINGLE FAMILY / DUPLEX
47.58513855,-122.3209575,COMMERCIAL
47.66580069,-122.407609,SINGLE FAMILY / DUPLEX
47.65482313,-122.3862399,SINGLE FAMILY / DUPLEX
47.65714058,-122.32991,SINGLE FAMILY / DUPLEX
47.53943205,-122.2742529,SINGLE FAMILY / DUPLEX
47.57212822,-122.3042872,SINGLE FAMILY / DUPLEX
47.67476972,-122.3704969,SINGLE FAMILY / DUPLEX
47.60319416,-122.3178598,MULTIFAMILY
47.5695413,-122.3222823,COMMERCIAL
47.55876119,-122.297184,SINGLE FAMILY / DUPLEX
47.6775267,-122.3036481,MULTIFAMILY
47.67307734,-122.3303434,SINGLE FAMILY / DUPLEX
47.6426972,-122.3603573,SINGLE FAMILY / DUPLEX
47.68861595,-122.2759687,SINGLE FAMILY / DUPLEX
47.6496355,-122.3484192,COMMERCIAL
47.56012792,-122.2917368,SINGLE FAMILY / DUPLEX
47.55326158,-122.362699,COMMERCIAL
47.65993287,-122.3593074,SINGLE FAMILY / DUPLEX
47.693188,-122.3945935,SINGLE FAMILY / DUPLEX
47.70741986,-122.3592097,SINGLE FAMILY / DUPLEX
47.63874172,-122.3693703,COMMERCIAL
47.51324181,-122.2806678,COMMERCIAL
47.66197043,-122.2989147,COMMERCIAL
47.58308311,-122.3294095,COMMERCIAL
47.6295295,-122.2846214,SINGLE FAMILY / DUPLEX
47.61794213,-122.2950906,SINGLE FAMILY / DUPLEX
47.64412505,-122.3677779,SINGLE FAMILY / DUPLEX
47.67178492,-122.2905375,SINGLE FAMILY / DUPLEX
47.61400577,-122.2835265,SINGLE FAMILY / DUPLEX
47.6499324,-122.3130026,INSTITUTIONAL
47.66974927,-122.385144,COMMERCIAL
47.53355155,-122.360112,SINGLE FAMILY / DUPLEX
47.50654041,-122.2509438,SINGLE FAMILY / DUPLEX
47.67606675,-122.3979808,COMMERCIAL
47.64612177,-122.3558749,SINGLE FAMILY / DUPLEX
47.66711473,-122.2791241,SINGLE FAMILY / DUPLEX
47.57065382,-122.2963492,SINGLE FAMILY / DUPLEX
47.58535606,-122.309164,SINGLE FAMILY / DUPLEX
47.64101925,-122.3244362,
47.60036862,-122.3053195,SINGLE FAMILY / DUPLEX
47.55360427,-122.2820845,MULTIFAMILY
47.54326337,-122.3313503,INDUSTRIAL
47.73280796,-122.3539162,SINGLE FAMILY / DUPLEX
47.54754774,-122.2989385,SINGLE FAMILY / DUPLEX
47.66032628,-122.3415021,COMMERCIAL
47.65644621,-122.3104243,INSTITUTIONAL
47.67772235,-122.2699666,SINGLE FAMILY / DUPLEX
47.67722613,-122.3684559,SINGLE FAMILY / DUPLEX
47.68843495,-122.2649418,COMMERCIAL
47.63895128,-122.3599315,SINGLE FAMILY / DUPLEX
47.64956041,-122.3454695,MULTIFAMILY
47.58872242,-122.3347603,COMMERCIAL
47.61852005,-122.292106,SINGLE FAMILY / DUPLEX
47.62334513,-122.3362073,COMMERCIAL
47.69732561,-122.3179238,COMMERCIAL
47.60571735,-122.3376095,COMMERCIAL
47.61425423,-122.3144478,COMMERCIAL
47.58987462,-122.3140156,MULTIFAMILY
47.64993468,-122.3480327,COMMERCIAL
47.69180239,-122.2963577,SINGLE FAMILY / DUPLEX
47.60454089,-122.3307351,COMMERCIAL
47.56733776,-122.3352113,COMMERCIAL
47.61077744,-122.3361124,COMMERCIAL
47.57731767,-122.4123087,SINGLE FAMILY / DUPLEX
47.60759057,-122.2986502,SINGLE FAMILY / DUPLEX
47.5811395,-122.402415,MULTIFAMILY
47.68133682,-122.3231614,MULTIFAMILY
47.69144617,-122.3130553,SINGLE FAMILY / DUPLEX
